1,Tyrion Lannister,Peter Dinklage,9,52.75,10,65.0,9,50.0,8,47.75,10,44.0,8,34.0,2,6.0,299.5
2,Jon Snow,Kit Harington (and others),8,54.75,8,33.75,8,36.0,8,42.5,9,49.25,9,52.0,2,11.0,279.25
3,Daenerys Targaryen,Emilia Clarke,9,54.0,8,38.75,8,30.75,8,27.5,8,41.75,8,28.75,2,11.75,233.25
4,Cersei Lannister,Lena Headey (and others),10,28.0,9,36.25,8,22.0,9,37.25,9,49.75,8,28.5,2,8.25,210.0
5,Sansa Stark,Sophie Turner,9,24.0,7,34.0,8,33.5,7,32.75,9,34.75,7,40.5,2,8.0,207.5
6,Arya Stark,Maisie Williams (and others),9,33.5,9,38.75,9,26.5,6,25.75,6,34.75,8,30.0,3,12.75,202.0
7,Jaime Lannister,Nikolaj Coster-Waldau,8,21.0,4,18.25,7,34.75,9,36.0,7,21.75,8,30.75,2,8.5,171.0
8,Samwell Tarly,John Bradley,5,21.25,6,11.25,8,24.0,7,26.0,9,23.5,3,16.0,2,12.75,134.75
9,Theon Greyjoy,Alfie Allen,9,16.75,8,40.25,6,22.5,3,12.25,6,15.5,7,16.5,1,3.5,127.25
10,Jorah Mormont,Iain Glen,9,27.5,7,17.5,8,18.75,7,13.5,8,29.75,3,10.5,2,5.25,122.75
11,Petyr 'Littlefinger' Baelish,Aidan Gillen,8,25.75,7,21.25,4,8.75,5,19.0,6,18.5,4,9.0,2,3.25,105.5
12,Eddard 'Ned' Stark,Sean Bean (and others),10,92.5,,,,,1,0.0,,,4,7.25,,,99.75
13,Brienne of Tarth,Gwendoline Christie,,,7,18.0,7,21.25,7,20.0,6,14.75,5,15.5,2,1.75,91.25
14,Davos Seaworth,Liam Cunningham,,,6,19.25,4,19.0,4,11.5,7,12.5,8,27.25,2,1.5,91.0
15,Bran Stark,Isaac Hempstead Wright,8,25.75,7,13.25,6,16.75,4,12.0,,,5,18.25,1,1.0,87.0
16,Lord Varys,Conleth Hill,7,19.0,6,14.0,5,15.75,6,6.5,4,10.5,7,16.0,2,5.25,87.0
17,Catelyn Stark,Michelle Fairley,9,42.25,8,24.0,8,16.5,,,,,,,,,82.75
18,Sandor 'The Hound' Clegane,Rory McCann,8,6.75,5,11.75,8,16.0,6,28.5,,,2,9.75,1,7.0,79.75
19,Tywin Lannister,Charles Dance,4,10.25,7,17.25,8,21.25,7,28.5,1,1.0,,,,,78.25
20,Margaery Tyrell,Natalie Dormer,,,4,9.5,6,21.25,6,17.75,5,11.25,5,18.25,,,78.0
21,Robb Stark,Richard Madden,8,24.75,6,27.5,7,25.5,,,,,,,,,77.75
22,Stannis Baratheon,Stephen Dillane,,,7,19.75,5,14.25,4,10.0,8,29.25,,,,,73.25
23,Joffrey Baratheon,Jack Gleeson,10,17.75,6,17.5,7,20.25,3,14.75,,,,,,,70.25
24,Melisandre,Carice van Houten,,,4,12.75,6,18.0,3,5.25,6,11.75,7,18.0,1,1.25,67.0
25,Ramsay Bolton,Iwan Rheon,,,,,5,12.75,3,13.5,6,18.5,5,21.25,,,66.0
26,Bronn,Jerome Flynn,5,15.0,7,14.5,4,6.75,4,8.75,6,13.5,3,5.5,,,64.0
27,Gilly,Hannah Murray,,,3,3.25,6,13.5,3,9.25,6,11.75,3,15.25,1,1.0,54.0
